fold_id,pair,val_start,val_end,n_val,n_clean_move,clean_rate
3,GBP_CHF,2022-03-23,2022-12-19,4601,433,0.09410997609215388
3,GBP_JPY,2022-03-23,2022-12-19,4612,863,0.18712055507372072
3,GBP_NZD,2022-03-23,2022-12-19,4565,457,0.10010952902519167
3,GBP_USD,2022-03-23,2022-12-19,4620,526,0.11385281385281386
3,NZD_CAD,2022-03-23,2022-12-19,4613,688,0.14914372425753306
3,NZD_CHF,2022-03-23,2022-12-19,4614,500,0.10836584308625921
3,NZD_JPY,2022-03-23,2022-12-19,4619,916,0.19831132279714223
3,NZD_USD,2022-03-23,2022-12-19,4620,560,0.12121212121212122
3,USD_CAD,2022-03-23,2022-12-19,4620,282,0.06103896103896104
3,USD_CHF,2022-03-23,2022-12-19,4620,906,0.1961038961038961
3,USD_JPY,2022-03-23,2022-12-19,4620,987,0.21363636363636362
4,AUD_CAD,2022-12-19,2023-09-13,4615,722,0.15644637053087757
4,AUD_CHF,2022-12-19,2023-09-13,4615,554,0.1200433369447454
4,AUD_JPY,2022-12-19,2023-09-13,4615,444,0.09620801733477789
4,AUD_NZD,2022-12-19,2023-09-13,4611,416,0.09021904142268489
4,AUD_USD,2022-12-19,2023-09-13,4615,503,0.10899241603466955
4,CAD_CHF,2022-12-19,2023-09-13,4615,351,0.07605633802816901
4,CAD_JPY,2022-12-19,2023-09-13,4615,408,0.08840736728060672
4,CHF_JPY,2022-12-19,2023-09-13,4614,382,0.08279150411790204
4,EUR_AUD,2022-12-19,2023-09-13,4615,433,0.09382448537378114
4,EUR_CAD,2022-12-19,2023-09-13,4615,638,0.13824485373781148
4,EUR_CHF,2022-12-19,2023-09-13,4615,1008,0.21841820151679306
4,EUR_GBP,2022-12-19,2023-09-13,4615,664,0.14387865655471288
4,EUR_JPY,2022-12-19,2023-09-13,4615,816,0.17681473456121344
4,EUR_NZD,2022-12-19,2023-09-13,4611,362,0.07850791585339406
4,EUR_USD,2022-12-19,2023-09-13,4615,583,0.12632719393282774
4,GBP_AUD,2022-12-19,2023-09-13,4613,445,0.09646650769564274
4,GBP_CAD,2022-12-19,2023-09-13,4613,703,0.15239540429221765
4,GBP_CHF,2022-12-19,2023-09-13,4615,553,0.11982665222101842
4,GBP_JPY,2022-12-19,2023-09-13,4615,476,0.10314192849404118
4,GBP_NZD,2022-12-19,2023-09-13,4608,400,0.08680555555555555
4,GBP_USD,2022-12-19,2023-09-13,4615,622,0.13477789815817984
4,NZD_CAD,2022-12-19,2023-09-13,4601,884,0.19213214518582916
4,NZD_CHF,2022-12-19,2023-09-13,4600,623,0.13543478260869565
4,NZD_JPY,2022-12-19,2023-09-13,4608,886,0.19227430555555555
4,NZD_USD,2022-12-19,2023-09-13,4615,683,0.14799566630552546
4,USD_CAD,2022-12-19,2023-09-13,4615,630,0.13651137594799567
4,USD_CHF,2022-12-19,2023-09-13,4615,626,0.13564463705308777
4,USD_JPY,2022-12-19,2023-09-13,4615,512,0.11094257854821235
5,AUD_CAD,2023-09-13,2024-06-11,4609,420,0.09112605771316988
