percentile,fwd_mfe_h240_R,final_r
1,0.8664863872528076,-2.222964997291565
5,1.0572120189666747,-1.6336447954177855
10,1.2171270370483398,-1.142470359802246
20,1.392571020126343,-1.1110233783721923
30,1.7682010173797607,-0.933400309085846
40,1.8923290252685547,-0.7806077361106872
50,1.9971450567245483,-0.7598395943641663
60,2.300234985351562,-0.4218926966190346
70,3.2005650520324704,0.7179101288318623
80,3.4828169822692874,1.138594388961792
90,3.9849189758300785,1.283951234817505
95,4.887085056304929,1.3945060253143309
99,5.835937137603758,1.4840277767181396
