percentile,fwd_mfe_h240_R,final_r
1,1.4611624550819398,-1.7906364929676055
5,1.5305849969387055,-1.4519641995429993
10,1.673041045665741,-1.0566424012184144
20,2.3007570266723634,-0.20196857750415792
30,2.5043755054473875,0.04570608809590331
40,2.5890590190887455,0.3111064851284029
50,3.038054943084717,0.4744478911161423
60,3.9050448894500724,0.7377312541007994
70,4.137614345550537,1.6223129153251645
80,4.911963176727298,2.5659134864807136
90,8.672525072097777,3.326549386978149
95,10.376172494888303,3.7200099110603326
99,16.449923849105833,4.940637907981872
