percentile,fwd_mfe_h240_R,final_r
1,0.0318224410712719,-1.6135828065872193
5,0.20368530303239823,-1.091385555267334
10,0.4476918429136276,-0.8801041603088379
20,1.020788025856018,-0.626849091053009
30,1.613921523094177,-0.4605362802743912
40,2.253508090972901,-0.33703348636627195
50,2.919265031814575,-0.23521411418914795
60,3.6673630714416503,-0.14194696545600893
70,4.5841660499572745,-0.05397663787007333
80,5.81465997695923,0.053605754673481006
90,7.73303484916687,0.21234194338321696
95,9.541340112686152,0.36565370708703954
99,14.275365657806399,0.7308087259531032
