fold,trade_id,entry_time,pair,p_admit,admitted,final_r_at_selected_sl,selected_sl_atr_mult,mode
0,402,2023-06-22 12:00:00,AUD_NZD,0.247260180763367,0,-1.0,2.0,D1
0,403,2023-06-30 04:00:00,GBP_CAD,0.1743517212873035,0,4.739646504,2.0,D1
0,404,2023-06-30 12:00:00,NZD_CHF,0.05611861173538131,0,-1.0,2.0,D1
0,405,2023-06-30 16:00:00,EUR_USD,0.23030933055947192,0,-1.0,2.0,D1
0,406,2023-07-03 04:00:00,CAD_CHF,0.08161399622299316,0,-1.0,2.0,D1
0,407,2023-07-05 12:00:00,GBP_NZD,0.3469454454375455,0,5.646623228,2.0,D1
0,408,2023-07-06 20:00:00,EUR_NZD,0.18248651585705974,0,-1.0,2.0,D1
0,409,2023-07-10 08:00:00,USD_CHF,0.05970440371089742,0,-1.0,2.0,D1
0,410,2023-07-10 20:00:00,NZD_JPY,0.1703226941643283,0,-1.0,2.0,D1
0,411,2023-07-12 16:00:00,USD_CAD,0.2444166443295951,0,-1.0,2.0,D1
0,412,2023-07-13 20:00:00,EUR_AUD,0.34592634594905364,0,4.244717405,2.0,D1
0,413,2023-07-17 16:00:00,NZD_JPY,0.17766950669039092,0,-1.0,2.0,D1
0,414,2023-07-18 12:00:00,USD_CAD,0.1487286758321277,0,-1.0,2.0,D1
0,415,2023-07-21 12:00:00,GBP_AUD,0.23484215250776885,0,1.358369543,2.0,D1
0,416,2023-07-25 12:00:00,NZD_CAD,0.1233792006178132,0,-1.0,2.0,D1
0,417,2023-07-28 16:00:00,GBP_JPY,0.16628753223062848,0,0.6561761455,2.0,D1
0,418,2023-07-28 20:00:00,AUD_JPY,0.09240069702459436,0,1.224794178,2.0,D1
0,419,2023-07-28 20:00:00,NZD_JPY,0.05994033636112684,0,1.266323317,2.0,D1
0,420,2023-07-28 20:00:00,NZD_USD,0.12399959631543511,0,-1.0,2.0,D1
0,421,2023-07-31 04:00:00,AUD_CAD,0.05222887959050021,0,-1.0,2.0,D1
0,422,2023-08-02 00:00:00,AUD_USD,0.08820458221910064,0,-1.0,2.0,D1
0,423,2023-08-03 20:00:00,GBP_CHF,0.11297992786582396,0,0.5512300032,2.0,D1
0,424,2023-08-14 04:00:00,CAD_CHF,0.06532028979958236,0,-1.0,2.0,D1
0,425,2023-08-14 20:00:00,EUR_USD,0.06303368197387849,0,-1.0,2.0,D1
0,426,2023-08-15 04:00:00,EUR_GBP,0.3134008816365184,0,-1.0,2.0,D1
0,427,2023-08-17 16:00:00,EUR_CHF,0.0500620181555651,0,-1.0,2.0,D1
0,428,2023-08-23 04:00:00,CAD_CHF,0.040981137679881596,0,-1.0,2.0,D1
0,429,2023-08-23 16:00:00,EUR_CAD,0.35263134547566544,0,-1.0,2.0,D1
0,430,2023-08-25 16:00:00,EUR_CHF,0.10528510259692345,0,-1.0,2.0,D1
0,431,2023-08-28 12:00:00,CAD_CHF,0.09384856443225535,0,-1.0,2.0,D1
0,432,2023-08-30 20:00:00,USD_CHF,0.1122314003535923,0,3.337044508,2.0,D1
