metric,value
unit_id,c1
n,185
sl_atr_mult,4
fwd_mfe_p5,1.906758313
fwd_mfe_p10,2.167292305
fwd_mfe_p25,2.788521909
fwd_mfe_p50,3.449560118
fwd_mfe_p75,4.618416394
fwd_mfe_p90,6.160880293
fwd_mfe_p95,7.671578603
fwd_mfe_p99,12.46113819
final_r_p5,-1
final_r_p10,-0.3111842022
final_r_p25,1.129248777
final_r_p50,2.117174912
final_r_p75,3.53524431
final_r_p90,5.257891583
final_r_p95,6.169850376
final_r_p99,9.19663594
fwd_mfe_mean,4.016371304
final_r_mean,2.446581563
hartigan_dip_stat,0.01805081237
hartigan_dip_pvalue,0.9762939049
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.2918918919
mass_final_r_le_0R_count,23
mass_final_r_le_0R_frac,0.1243243243
mass_final_r_0R_to_0.5R_count,7
mass_final_r_0R_to_0.5R_frac,0.03783783784
mass_final_r_0.5R_to_1R_count,11
mass_final_r_0.5R_to_1R_frac,0.05945945946
mass_final_r_1R_to_2R_count,45
mass_final_r_1R_to_2R_frac,0.2432432432
mass_final_r_2R_to_5R_count,77
mass_final_r_2R_to_5R_frac,0.4162162162
mass_final_r_gt_5R_count,22
mass_final_r_gt_5R_frac,0.1189189189
