run,fold_id,oos_start,oos_end,days,n_universe,n_admit,admit_rate,n_admit_true_c1,precision_on_c1,mean_r_admit,sum_r_admit,roi_period_pct,roi_annualised_pct,max_dd_pct,classifier_trained,n_is_trades,notes
C_E_only_c1_t0.3_best,1,2020-10-01,2021-07-01,273,368,368,1.0000,42,0.1141,-0.0820,-30.1741,-15.5360,-20.2202,33.4643,0,0,no classifier (IS<50 or single class); admitted-all fallback
C_E_only_c1_t0.3_best,2,2021-07-01,2022-04-01,274,333,28,0.0841,4,0.1429,0.1810,5.0687,2.4163,3.2339,3.7088,1,368,
C_E_only_c1_t0.3_best,3,2022-04-01,2023-01-01,275,370,100,0.2703,16,0.1600,0.0337,3.3690,1.0954,1.4576,9.0483,1,701,
C_E_only_c1_t0.3_best,4,2023-01-01,2023-10-01,273,345,129,0.3739,18,0.1395,-0.1656,-21.3613,-10.5648,-13.8764,12.7921,1,1071,
C_E_only_c1_t0.3_best,5,2023-10-01,2024-07-01,274,281,127,0.4520,32,0.2520,0.4909,62.3389,35.5471,49.9961,8.0498,1,1416,
C_E_only_c1_t0.3_best,6,2024-07-01,2025-04-01,274,303,175,0.5776,26,0.1486,0.0246,4.3122,1.2588,1.6816,17.3359,1,1697,
C_E_only_c1_t0.3_best,7,2025-04-01,2026-01-31,305,299,200,0.6689,33,0.1650,0.0960,19.1909,9.2718,11.2027,11.3025,1,2000,
