cluster_id,n_trades,frac_of_pool,pool_median_fwd_mfe_h120,pool_median_fwd_mfe_h240,pool_frac_reach_1R,pool_frac_reach_1_5R,pool_frac_reach_2R,pool_p50_fwd_mfe_h240,pool_p90_fwd_mfe_h240,pool_p95_fwd_mfe_h240,pool_p99_fwd_mfe_h240,axis3_race_condition_median,axis3_race_condition_mean,axis3_mae_mfe_ratio_winners_median,axis3_pct_peak_and_collapse,axis3_pct_wrong_way,axis3_n_trades_with_race_signal,shape_p5,shape_p50,shape_p90,shape_p95,shape_p99,shape_skew,shape_kurt,shape_sarle,shape_tag,mass_n_trades,mass_band_0_to_0_5R,mass_band_0_5_to_1R,mass_band_1_to_2R,mass_band_2_to_5R,mass_band_above_5R
0,14882,0.3258380224640378,4.365572452545166,5.741874694824219,0.9995968283832818,0.9971106034135196,0.98891278054025,5.741874933242798,10.535664653778076,12.556352376937857,18.385528869628917,-202.0,-145.0855395780137,0.23374149203300476,0.28551269990592665,0.061819647896788066,14876,2.617193281650543,5.741874933242798,10.535664653778076,12.556352376937857,18.385528869628917,1.755791187286377,5.493458271026611,0.7432117423892829,bimodal,14882,0.0,0.00040317161671818305,0.010684047843031851,0.3818707163015724,0.6070420642386776
1,16230,0.3553521774352462,1.4103549718856812,1.6615700721740723,0.6953789279112754,0.5484288354898337,0.4119531731361676,1.6615700125694275,3.9613404273986825,4.842670249938964,6.924790782928465,30.0,69.04091189155884,0.3409913182258606,0.3353049907578558,0.665804066543438,16224,0.16861572489142418,1.6615700125694275,3.9613404273986825,4.842670249938964,6.924790782928465,1.4386051893234253,3.664508581161499,0.8376525317824077,bimodal,16230,0.15027726432532348,0.15434380776340112,0.28342575477510784,0.3676524953789279,0.04430067775723968
2,14561,0.31880980010071597,1.6850550174713135,3.0007050037384033,0.8600370853650161,0.7700020602980564,0.6756404093125472,3.0007050037384033,7.0808000564575195,8.573200225830078,12.20266990661621,47.0,64.8638829750704,0.44029906392097473,0.5229723233294417,0.7507039351692878,14558,0.40278199315071106,3.0007050037384033,7.0808000564575195,8.573200225830078,12.20266990661621,1.6222063302993774,5.945135116577148,0.6108445488374709,bimodal,14561,0.0637318865462537,0.07623102808873017,0.18439667605246893,0.4367145113659776,0.2389258979465696
