group_label,archetype_label,cluster_ids,size_count,size_fraction_of_pool,centroid_monotonicity,centroid_local_peaks,centroid_pullback,centroid_time_to_peak_rel,final_r_mean,final_r_t_stat,final_r_p5,final_r_p25,final_r_p50,final_r_p75,final_r_p95,mfe_h240_p5,mfe_h240_p25,mfe_h240_p50,mfe_h240_p75,mfe_h240_p95,frac_reach_1R,frac_reach_2R,frac_wrong_way,pct_peak_and_collapse,shape_tag,gate_monotonicity,gate_local_peaks,gate_mfe_p50,gate_reach_1R,gate_wrong_way,gate_shape_tag,gate_size,gates_passed_count,capturability_verdict
Stepwise climber,Stepwise climber,0,487,0.2537780094,0.5429485619,21.52156057,0.3303374582,0.807052579,2.029737291,28.0287762,-1.000864735,1.152189381,1.971697575,2.968047172,4.475782501,1.259584571,2.179836845,2.86863901,3.769051762,5.490700274,0.9794661191,0.794661191,0.0841889117,0.1889117043,bimodal,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,4,FAIL
Early-peak hold,Early-peak hold,1,360,0.1875977071,0.006435185185,0.4777777778,0.006850856069,0.1065669089,-1.004439149,-1473.05162,-1.015432406,-1.002331338,-1.001120832,-1.000682181,-1.000357437,0.00247810671,0.05920449109,0.1329615154,0.2233893392,0.4732561576,0,0,1,0,no_magnitude,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,2,FAIL
unassigned (cluster 2),unassigned,2,410,0.2136529442,0.5026773472,8.114634146,0.6662842072,0.621408719,-0.1144606574,-1.860789531,-1.018885216,-1.00135754,-1.000541267,0.6837265694,2.101200095,0.3793927586,0.7980770479,1.324730429,2.073252445,3.483571512,0.6634146341,0.287804878,0.5707317073,0.4365853659,heavy_right_tail,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,3,FAIL
unassigned (cluster 3),unassigned,3,662,0.3449713392,0.5348024325,5.777945619,0.1798126145,0.3114353251,-0.7138195606,-27.31039517,-1.022925919,-1.0029088,-1.001058861,-1.000443534,0.9623552764,0.2130266655,0.4341625083,0.7257555053,1.300574758,2.401053504,0.3610271903,0.1027190332,0.8141993958,0.2930513595,no_magnitude,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,2,FAIL
