feature,importance
atr_200,0.1670170533531824
atr_50,0.13587297180056057
dxy_proxy_ema_20_slope,0.11502049035465724
atr_14,0.09583651163340998
adx_14,0.08257064998669365
ema_20_slope,0.0822404908553538
di_minus_14,0.06235262104609296
atr_ratio_14_200,0.05880103397631808
atr_ratio_14_50,0.05202936418128311
atr_percentile_200,0.044618562306386646
di_plus_14,0.04154745321837283
position_in_range_20,0.02710299013400058
range_compression_60,0.014734170932236834
ema_50_above_200,0.012979735261433312
body_size_atr,0.00727590096001808
