feature,auc,ks_stat,ks_pvalue,cohen_d,mean_pos,mean_neg,n
atr_14,0.5332615719971514,0.052751287527617596,1.4569301807858951e-97,0.10686483904321573,0.13038989277149288,0.10774446564493777,255174
atr_50,0.5320254847145712,0.052306732837377634,6.23210772716205e-96,0.10608574268228281,0.12957814776690074,0.10768884590069709,255174
atr_200,0.5295130246537872,0.05194867660451785,1.254247555824665e-94,0.09785206191442461,0.1271078759297571,0.10745254566320439,255174
ema_200_slope,0.5236049273020734,0.03730558703494835,5.3904801377237436e-49,0.06590064289377645,0.0025937586773583004,0.0012446377200112982,255174
atr_ratio_14_200,0.5214850216393228,0.04196847091412792,6.726111917873944e-62,0.08607766666991813,1.0144356222286208,0.9947844465388694,255174
atr_percentile_200,0.5204695770620624,0.0337669687995108,3.236072054196233e-40,0.0708995301724726,0.4947595441253055,0.4723170262316807,255174
d1_close_above_ema_50,0.5185391562627749,0.03707831252554994,2.097647598312541e-48,0.07431075117273904,0.5584865601089612,0.5214082475834113,255174
d1_ema_50_slope_at_entry,0.5176593001799976,0.03911775981305465,7.893444756110298e-54,0.04764239385680286,0.0032240007726880467,0.002068212773851058,255174
ema_50_above_200,0.5170296101021842,0.0340592202043683,6.579092474693426e-41,0.06826522980003813,0.5572847814765853,0.523225561272217,255174
ema_spread_20_50_atr,0.5166794358183633,0.024202433844372262,7.240621372450945e-21,0.06131537157885244,0.10734003394942479,0.042793377197502834,255174
ema_50_slope,0.51572660715283,0.02378405622641433,3.633756264787773e-20,0.05114978219622462,0.0008169808101998939,0.0002561858021880505,255174
atr_ratio_14_50,0.5146458077724286,0.023109298230042707,4.618505544983207e-19,0.059245007306616866,1.0009574726300763,0.9942824484142743,255174
ema_20_slope,0.5142871358598877,0.02633059345979849,1.279235929002034e-24,0.03918549357543621,0.0003726683009789543,9.450903125473784e-05,255174
position_in_range_60,0.5126620064518063,0.022089809967395346,1.872659205829762e-17,0.0435882897777872,0.5281352378541642,0.5151972329198476,255174
atr_percentile_60,0.5113356265577544,0.016943027036421754,1.9162156093701854e-10,0.03872262036905933,0.48353162680767525,0.47059922630183976,255174
di_plus_14,0.5110530669113393,0.020972861045760238,8.929838213424151e-16,0.03675462466586119,19.860000528173163,19.608612941162594,255174
realised_vol_20,0.488966992301553,0.021906229685790812,3.583408992274546e-17,0.04688608399288824,0.002010271069127573,0.001962399175726769,255174
ema_20_above_50,0.5106256338543813,0.021251267708762733,3.4725100071549303e-16,0.0425288968626109,0.5326082602251332,0.5113569925163705,255174
atr_percentile_20,0.5056816893707239,0.010336213170796804,0.000372734236210231,0.02104224699152209,0.48145755718463323,0.4743120517617711,255174
di_minus_14,0.5044586385613414,0.011333732530318885,6.562741065936349e-05,-0.0087365130052573,21.120462993881574,21.181525433327067,255174
prev_3_body_size_atr_mean,0.5041399496718973,0.011024265515395038,0.00011442722665021668,0.014217571576120996,0.47742022273772294,0.47391085831684393,255174
position_in_range_20,0.5038728166610812,0.013917052452784406,3.4744234459160145e-07,0.011813148068119967,0.519130609587571,0.5156208043099418,255174
prev_3_body_ratio_mean,0.503801217347891,0.008886851157559161,0.0034984816676592438,0.012790420688620775,0.44509205998702017,0.44319372563892084,255147
session_marker,0.5029817779264825,0.009621838543682593,0.0011720314531012948,0.010787578114950862,1.3428073548852302,1.3308826395385096,255174
hour_of_week,0.5028553898372647,0.010274702584146422,0.00041270567994857035,0.00990327641476957,58.268557465048275,57.92584580604927,255174
dxy_proxy_ema_20_slope,0.5028382386837571,0.011110708933412261,9.812041255915867e-05,0.004105270127450003,0.0002717063675490572,0.00022231527480184377,255174
recent_5_bar_size_pct_atr,0.5021246835478653,0.008149313088141263,0.009597762559417806,0.007470394223430875,0.9910791673169886,0.9895323644649757,255174
adx_14,0.5020354542988356,0.006961960038555759,0.04058526947081054,-0.004311801973261806,24.910625228027374,24.95471797159969,255174
day_of_week,0.501661321107125,0.008494217255382686,0.006051103163046476,0.005877847022691719,2.0063493971077193,1.9980413938260055,255174
range_compression_20,0.5015596165131535,0.004263025835767348,0.45757756161178975,-0.0012965888287252104,1.0005361717116097,1.0011655826617467,255174
range_compression_60,0.5009705410448843,0.006241151075715545,0.08719812667173243,0.009788273294199058,1.0106757301778069,1.0054410435069703,255174
body_size_atr,0.5005274856405503,0.0037438670457721757,0.6253480693495308,-0.001641225044626801,0.4740176418478709,0.47470493671584957,255174
body_ratio,0.5002523254585955,0.003027255541744961,0.8542433976451673,-0.0008110914622076557,0.4433894629717326,0.4435973266499313,255165
close_in_bar,0.5002274243735327,0.0025792128469586117,0.951496152604731,-0.0008600024321771171,0.5110724261543843,0.5113276361476492,255165
