dataset,n_trades,pool_median_fwd_mfe_h120,pool_median_fwd_mfe_h240,pool_frac_reach_1R,pool_frac_reach_1_5R,pool_frac_reach_2R,pool_p50_fwd_mfe_h240,pool_p90_fwd_mfe_h240,pool_p95_fwd_mfe_h240,pool_p99_fwd_mfe_h240
kh24,553,2.2926430702209473,3.2262179851531982,0.8227848101265823,0.7468354430379747,0.674502712477396,3.2262179851531982,8.258108711242675,10.4779239654541,15.586125373840346
arc1,45673,2.3137049674987793,3.2098450660705566,0.8469993212620147,0.7652661309745363,0.6840146257088433,3.2098450660705566,8.086120223999023,9.873369789123537,14.479013977050771
arc2,3993,2.4223899841308594,3.3589749336242676,0.8507387928875532,0.7806160781367393,0.7002253944402704,3.3589749336242676,8.047729873657227,9.626439666748047,13.344207725524901
