dataset,shape_p5,shape_p50,shape_p90,shape_p95,shape_p99,shape_skew,shape_kurt,shape_sarle,shape_tag
kh24,0.32448418736457824,3.2262179851531982,8.258108711242675,10.4779239654541,15.586125373840346,1.518509030342102,3.6061906814575195,0.9167207081502337,bimodal
arc1,0.3523956000804901,3.2098450660705566,8.086120223999023,9.873369789123537,14.479013977050771,1.6953258514404297,5.2813215255737305,0.7335530934449889,bimodal
arc2,0.33872709274291996,3.3589749336242676,8.047729873657227,9.626439666748047,13.344207725524901,1.272662878036499,2.6074700355529785,1.004679158499545,bimodal
