fold_idx,auc,n_train,n_test,base_success_rate
0,0.468,35,30,0.8333333333
1,0.4708994709,65,30,0.7
2,0.6477272727,95,30,0.7333333333
3,0.5358851675,125,30,0.6333333333
4,0.2980769231,155,30,0.8666666667
