fold_idx,auc,n_train,n_test,base_success_rate
0,0.52,35,30,0.8333333333
1,0.1957671958,65,30,0.7
2,0.4204545455,95,30,0.7333333333
3,0.4736842105,125,30,0.6333333333
4,0.4903846154,155,30,0.8666666667
