fold_idx,auc,n_train,n_test,base_success_rate
0,0.4576271186,65,60,0.01666666667
1,0.5636363636,125,60,0.08333333333
2,0.469,185,60,0.1666666667
3,0.6634615385,245,60,0.1333333333
4,0.4350205198,305,60,0.2833333333
