trade_id,pair,fold,segment,cluster,archetype,realized_r_3p5,outcome,terminal_mae_r_dep,terminal_mae_r_held,bars_to_mae_trough,dip_first1_r,dip_first2_r,dip_first3_r,dep_exit_offset,terminal_mfe_r_dep,terminal_mfe_r_held,terminal_mfe_r_full,exit_reason_deployed,partial_fired,partial_contrib_r,runner_contrib_r,runner_exit_r,runner_peak_mfe_r,give_back_r,gap_open_r
1,AUDCAD,1,fold,1,monotonic_down,-1.0,loss,-1.876379003523275,-1.4467703427839314,6,-0.35379536766769065,-0.47383308169778565,-0.4801508561204363,6,0.24639320248285473,0.24639320248285473,0.2527109769054913,SL_no_partial,False,0.0,-1.0,-1.0,0.1407961157044884,,0.018953323267909744
2,GBPCHF,1,fold,1,monotonic_down,-1.0,loss,-1.8582717644685576,-1.124455213077232,81,-0.2701613174276518,-0.737467380005188,-0.857944724263475,81,1.098899412780049,0.08396905811941953,1.098899412780049,SL_no_partial,False,0.0,-1.0,-1.0,0.6279425215885994,,0.02190497168332049
3,GBPAUD,1,fold,1,monotonic_down,-1.0,loss,-1.7842633927582399,-1.6005482852355457,8,-0.32010965704710664,-0.32010965704710664,-0.32010965704710664,8,0.40083296186769213,0.40083296186769213,0.40083296186769213,SL_no_partial,False,0.0,-1.0,-1.0,0.22904740678153834,,0.022268497881535704
4,GBPCHF,1,fold,1,monotonic_down,-1.0,loss,-1.802856234390651,-1.0431620978864105,58,-0.06425273791329456,-0.10960761173443773,-0.1322850486450261,58,1.0696191076154191,1.0696191076154191,1.0696191076154191,SL_no_partial,False,0.0,-1.0,-1.0,0.6112109186373823,,0.01511829127371439
5,GBPNZD,1,fold,1,monotonic_down,-1.0,loss,-1.97176545207722,-1.0563758950506874,45,-0.279929395787112,-0.279929395787112,-0.279929395787112,45,0.7417107348228269,0.7417107348228269,0.7417107348228269,SL_no_partial,False,0.0,-1.0,-1.0,0.4238347056130439,,0.04290888548560909
6,EURNZD,1,fold,1,monotonic_down,-1.0,loss,-1.9549496694793125,-1.3209874195196052,29,-0.17594547025313775,-0.19549496694793497,-0.7819798677917275,29,0.32675587332725226,0.32675587332725226,1.4717978225937072,SL_no_partial,False,0.0,-1.0,-1.0,0.18671764190128698,,0.06423406056860526
7,EURGBP,1,fold,1,monotonic_down,1.9716863103358473,win,-0.5095173624655764,-0.5095173624655764,20,-0.13534054940492232,-0.3980604394262432,-0.3980604394262432,67,7.228777579980409,7.228777579980409,7.228777579980409,partial_then_trail,True,0.5,1.4716863103358473,2.9433726206716946,4.13073004570309,1.1873574250313954,0.023883626365571408
8,EURCHF,1,fold,1,monotonic_down,-1.0,loss,-2.0675516775242224,-1.1244579298816268,91,-0.4473649828561045,-0.4715468738212979,-0.4715468738212979,91,0.4231830918909648,0.25390985513455744,0.4231830918909648,SL_no_partial,False,0.0,-1.0,-1.0,0.24181890965197989,,0.024181890965193388
9,USDCAD,1,fold,1,monotonic_down,-1.0,loss,-2.147968169525833,-1.0053150256348427,27,-0.14832516771661214,-0.29115681070299204,-0.37355968165667086,27,1.2854847868773458,1.2854847868773458,1.2854847868773458,SL_no_partial,False,0.0,-1.0,-1.0,0.7345627353584833,,0.027467623651210013
10,EURCHF,1,fold,1,monotonic_down,-1.0,loss,-1.9792479214446999,-0.9826053510718531,70,-0.5614887720410501,-0.7018609650512969,-0.7018609650512969,70,0.11229775440819754,0.11229775440819754,0.11229775440819754,SL_no_partial,False,0.0,-1.0,-1.0,0.06417014537611287,,0.04211165790310525
11,CHFJPY,1,fold,0,v_shape_recovery,2.1535985077376645,win,-1.1997317388192617,-1.0108850762273387,12,-0.2888243074935163,-0.510996851719309,-0.6942892007055923,162,7.826027870353438,0.36103038436691115,7.826027870353438,partial_then_trail,True,0.5,1.6535985077376645,3.307197015475329,4.47201592591625,1.1648189104409212,0.02777156802821422
12,EURJPY,1,fold,0,v_shape_recovery,0.7466524920112672,win,-1.5546919519081244,-1.0000028635388905,5,-1.0000028635388905,-1.3125037583947978,-1.3125037583947978,79,2.703132740503567,0.05859391778548403,4.832045086709401,partial_then_trail,True,0.5,0.24665249201126715,0.4933049840225343,1.5446472802877524,1.0513422962652181,0.011718783557096804
13,USDCHF,1,fold,0,v_shape_recovery,0.13390648684264955,win,-1.9329424594269375,-1.341560630480467,49,-0.3997303103064385,-0.3997303103064385,-0.3997303103064385,49,0.9582575932003058,0.9582575932003058,2.2067303431984535,partial_then_time_exit,True,0.5,-0.36609351315735045,-0.7321870263147009,0.5475757675430318,,0.02737878837716132
14,NZDJPY,1,fold,0,v_shape_recovery,1.230123890896485,win,-0.5061486876504576,-0.5061486876504576,0,-0.5061486876504576,-0.5061486876504576,-0.5061486876504576,71,4.44423237936992,8.586010055143808,8.586010055143808,partial_then_trail,True,0.5,0.7301238908964851,1.4602477817929702,2.539561359639954,1.079313577846984,0.01851763491404199
15,NZDUSD,1,fold,0,v_shape_recovery,1.0362146269897505,win,-0.054996371998942944,-0.054996371998942944,1,-0.027498185999471472,-0.054996371998942944,-0.054996371998942944,68,4.193473364919857,5.231529886400027,5.231529886400027,partial_then_trail,True,0.5,0.5362146269897504,1.0724292539795008,2.3962704942399182,1.3238412402604174,0.020623639499603604
16,NZDCHF,1,fold,0,v_shape_recovery,0.5467956473620742,win,-0.2495767859310968,-1.0295042419657527,1,-0.23397823681040542,-0.2495767859310968,-0.2495767859310968,20,1.9888150128883595,1.9888150128883595,5.65447405625125,partial_then_trail,True,0.5,0.04679564736207416,0.09359129472414832,1.136465721650491,1.0428744269263426,0.06239419648278286
