ccy,peak_net_long_pct,peak_net_short_pct,peak_abs_net_pct,peak_net_long_trades,peak_net_short_trades,median_abs_net_pct
EUR,5.250000000000019,-0.0,5.250000000000019,13,0,0.7500000000000155
CHF,1.0000000000000013,5.25,5.25,2,11,0.5000000000000029
JPY,1.908195823574488e-15,5.0,5.0,0,12,0.7500000000000016
GBP,3.7499999999999987,1.5000000000000038,3.7499999999999987,8,3,0.4999999999999992
AUD,3.749999999999997,2.0000000000000027,3.749999999999997,8,4,0.4999999999999988
CAD,2.9999999999999996,3.000000000000001,3.000000000000001,6,8,0.5000000000000001
NZD,3.0000000000000004,2.249999999999998,3.0000000000000004,6,5,0.49999999999999956
USD,2.9999999999999996,2.4999999999999996,2.9999999999999996,6,6,0.49999999999999833
