band_kR,n_reached,E_runner_final_r,kR,diff_E_minus_kR,p25,p50,p75,p90,mean,tail_share_ge_kR_plus_2
1R,2179,1.0076128305373269,1.0,0.0076128305373268645,0.21284118141078515,0.6712178126620069,1.4343576227904862,2.5132245941525357,1.0076128305373269,0.0637907296925195
2R,926,1.9715077087927138,2.0,-0.028492291207286247,1.1805482032897365,1.6214306271875696,2.45000099535867,3.4111633458050052,1.9715077087927138,0.05939524838012959
3R,392,2.9563986068912076,3.0,-0.04360139310879241,2.178884407443113,2.7003075617465084,3.363234238950974,4.3250095980617385,2.9563986068912076,0.07142857142857142
4R,161,3.937266341735137,4.0,-0.06273365826486321,3.117347938301429,3.539911093281266,4.318631569767587,5.490462262484102,3.937266341735137,0.06832298136645963
5R,68,4.831979395025609,5.0,-0.16802060497439086,4.033793776558329,4.562635285812391,5.439959439254592,6.6076462866825505,4.831979395025609,0.08823529411764706
