dow,weekday,n,win_rate,mean_r,total_r
0,Mon,630,0.7238095238095238,0.4135070760377115,260.50945790375823
1,Tue,606,0.7211221122112211,0.4482026659073782,271.61081553987117
2,Wed,632,0.7215189873417721,0.4448776224906033,281.1626574140613
3,Thu,674,0.6884272997032641,0.3823850845225793,257.72754696821846
4,Fri,562,0.7170818505338078,0.4092840662808588,230.01764524984264
5,Sat,45,0.6888888888888889,0.346966392115792,15.61348764521064
6,Sun,3,0.6666666666666666,0.5099751882580954,1.5299255647742862
