trade_id,cluster_id
AUD_USD_2017-08-22T08:00:00,2
AUD_USD_2018-08-29T08:00:00,2
AUD_USD_2018-09-24T12:00:00,3
AUD_USD_2019-04-05T16:00:00,1
AUD_USD_2019-06-06T20:00:00,1
AUD_USD_2020-03-10T12:00:00,2
AUD_USD_2020-09-15T00:00:00,3
AUD_USD_2021-05-19T08:00:00,1
AUD_USD_2021-10-13T12:00:00,1
AUD_USD_2022-02-18T16:00:00,1
AUD_USD_2022-02-21T20:00:00,1
AUD_USD_2022-10-28T08:00:00,3
AUD_USD_2023-07-18T08:00:00,1
AUD_USD_2025-03-10T16:00:00,1
AUD_USD_2025-10-03T04:00:00,3
AUD_USD_2025-10-30T08:00:00,2
CAD_CHF_2010-11-15T08:00:00,1
CAD_CHF_2011-08-18T12:00:00,0
CAD_CHF_2012-04-19T12:00:00,2
CAD_CHF_2012-05-01T20:00:00,1
CAD_CHF_2012-11-08T16:00:00,1
CAD_CHF_2012-11-20T08:00:00,1
CAD_CHF_2012-12-12T08:00:00,2
CAD_CHF_2014-03-31T16:00:00,0
CAD_CHF_2014-11-03T16:00:00,2
CAD_CHF_2014-11-25T08:00:00,2
CAD_CHF_2014-11-25T20:00:00,1
CAD_CHF_2014-12-29T12:00:00,1
CAD_CHF_2015-04-13T16:00:00,0
CAD_CHF_2016-05-18T20:00:00,2
CAD_CHF_2016-05-30T00:00:00,1
CAD_CHF_2016-07-18T12:00:00,2
CAD_CHF_2017-09-05T16:00:00,1
CAD_CHF_2017-10-05T20:00:00,1
CAD_CHF_2017-10-06T16:00:00,1
CAD_CHF_2017-11-07T12:00:00,3
CAD_CHF_2017-11-10T08:00:00,1
CAD_CHF_2017-12-06T16:00:00,1
CAD_CHF_2019-09-03T08:00:00,2
CAD_CHF_2020-01-06T08:00:00,1
CAD_CHF_2020-05-11T12:00:00,2
CAD_CHF_2020-05-21T16:00:00,1
CAD_CHF_2020-08-14T08:00:00,1
CAD_CHF_2020-09-28T08:00:00,1
CAD_CHF_2020-11-05T00:00:00,1
CAD_CHF_2020-11-05T08:00:00,1
CAD_CHF_2020-12-08T12:00:00,1
CAD_CHF_2021-01-11T12:00:00,0
CAD_CHF_2021-06-01T16:00:00,1
CAD_CHF_2021-11-17T16:00:00,2
CAD_CHF_2021-11-26T00:00:00,2
CAD_CHF_2022-01-28T08:00:00,1
CAD_CHF_2022-02-10T20:00:00,1
CAD_CHF_2023-01-09T12:00:00,1
CAD_CHF_2023-01-25T16:00:00,1
CAD_CHF_2023-01-30T20:00:00,2
CAD_CHF_2023-02-07T12:00:00,2
CAD_CHF_2023-02-15T08:00:00,3
CAD_CHF_2023-02-28T12:00:00,1
CAD_CHF_2024-01-23T04:00:00,1
CAD_CHF_2024-03-11T20:00:00,0
CAD_CHF_2024-11-08T08:00:00,1
CAD_CHF_2025-01-02T08:00:00,1
CAD_CHF_2025-01-22T08:00:00,1
CAD_CHF_2025-05-14T08:00:00,1
CAD_CHF_2025-07-30T08:00:00,1
CAD_JPY_2010-03-04T04:00:00,0
CAD_JPY_2010-06-04T12:00:00,2
CAD_JPY_2010-11-05T08:00:00,0
CAD_JPY_2011-01-10T12:00:00,1
CAD_JPY_2011-01-24T08:00:00,1
CAD_JPY_2012-10-26T04:00:00,2
CAD_JPY_2013-07-03T08:00:00,0
CAD_JPY_2014-12-26T20:00:00,1
CAD_JPY_2015-05-22T08:00:00,3
CAD_JPY_2015-10-30T08:00:00,1
CAD_JPY_2015-11-27T04:00:00,3
CAD_JPY_2016-04-15T12:00:00,1
CAD_JPY_2016-10-12T20:00:00,1
CAD_JPY_2017-01-30T16:00:00,1
CAD_JPY_2017-11-07T16:00:00,1
CAD_JPY_2017-12-06T04:00:00,1
CAD_JPY_2019-06-12T08:00:00,2
CAD_JPY_2020-05-12T20:00:00,0
CAD_JPY_2020-11-05T00:00:00,1
CAD_JPY_2020-11-27T00:00:00,0
CAD_JPY_2020-11-27T16:00:00,0
CAD_JPY_2021-06-28T04:00:00,1
