n,sl_mult,reach_1R,reach_2R,reach_3R,ww_pp,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mean_r,p25_r,p50_r,p75_r,sl_fire_rate,capturability_composite,cluster_id,modal_shape_tag,archetype,candidate
1657.0,4.0,0.0,0.0,0.0,0.028364514182257092,0.029170466625218015,0.06893125689615279,0.134254582258418,0.21513079000258487,-0.5141822570911285,-0.5000000000000033,-0.5000000000000002,-0.4999999999999972,0.028364514182257092,0.3932496114535074,0.0,Monotonic down,Monotonic down,False
3560.0,1.5,0.597752808988764,0.2941011235955056,0.12808988764044943,0.4002808988764045,0.6632463642482584,1.246400419780552,2.18157624084285,3.272591428153187,-0.9812419552699916,-1.0,-1.0,-1.0,0.9943820224719101,0.5620821253636473,1.0,Mixed,Choppy,False
1540.0,1.5,1.0,0.9980519480519481,0.9727272727272728,0.0,5.45953073606613,7.526513770716538,10.793792550317765,15.351272248717152,2.815630387956824,-1.0,-1.0,5.701524850601674,0.5506493506493506,1.0,2.0,V-shape recovery,V-shape recovery,True
