n,sl_mult,reach_1R,reach_2R,reach_3R,ww_pp,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mean_r,p25_r,p50_r,p75_r,sl_fire_rate,capturability_composite,cluster_id
1657,1.5,0.02595051297525649,0.0006035003017501509,0.0,0.9740494870247435,0.07778791100058137,0.18381668505640741,0.3580122193557813,0.5736821066735597,-1.0,-1.0,-1.0,-1.0,1.0,0.03301485605063237,0
1657,2.0,0.010259505129752565,0.0,0.0,0.9897404948702474,0.05834093325043603,0.13786251379230557,0.268509164516836,0.43026158000516973,-1.0,-1.0,-1.0,-1.0,1.0,0.01739843835662244,0
1657,2.5,0.0030175015087507543,0.0,0.0,0.3747736873868437,0.04667274660034883,0.11029001103384446,0.2148073316134688,0.3442092640041358,-0.8751961375980689,-1.0,-0.8000000000000059,-0.7999999999999983,0.375980687990344,0.25865019305101916,0
1657,3.0,0.0006035003017501509,0.0,0.0,0.15027157513578757,0.038893955500290685,0.09190834252820371,0.17900610967789066,0.28684105333677984,-0.7169583584791792,-0.6666666666666733,-0.6666666666666683,-0.6666666666666636,0.15087507543753773,0.3462599929015986,0
1657,3.5,0.0006035003017501509,0.0,0.0,0.06336753168376584,0.0333376761431063,0.0787785793098889,0.15343380829533484,0.24586376000295412,-0.5988447279937926,-0.5714285714285756,-0.571428571428572,-0.5714285714285684,0.06397103198551599,0.38014629273451966,0
1657,4.0,0.0,0.0,0.0,0.028364514182257092,0.029170466625218015,0.06893125689615279,0.134254582258418,0.21513079000258487,-0.5141822570911285,-0.5000000000000033,-0.5000000000000002,-0.4999999999999972,0.028364514182257092,0.3932496114535074,0
3560,1.5,0.597752808988764,0.2941011235955056,0.12808988764044943,0.4002808988764045,0.6632463642482584,1.246400419780552,2.18157624084285,3.272591428153187,-0.9812419552699916,-1.0,-1.0,-1.0,0.9943820224719101,0.5620821253636473,1
3560,2.0,0.473876404494382,0.17134831460674158,0.04747191011235955,0.5230337078651686,0.49743477318619383,0.934800314835414,1.6361821806321375,2.4544435711148904,-0.9840521828462626,-1.0,-1.0,-1.0,0.9938202247191011,0.44265709964071304,1
3560,2.5,0.37640449438202245,0.09410112359550561,0.014044943820224719,0.22303370786516855,0.3979478185489551,0.7478402518683314,1.30894574450571,1.9635548568919123,-0.8596574766140886,-1.0,-0.8000000000000052,-0.799999999999998,0.36207865168539327,0.5112043313979637,1
3560,3.0,0.2941011235955056,0.04747191011235955,0.0028089887640449437,0.1047752808988764,0.3316231821241292,0.623200209890276,1.090788120421425,1.6362957140765935,-0.7050048260173585,-0.666666666666673,-0.6666666666666679,-0.6666666666666634,0.14691011235955057,0.5172770177380035,1
3560,3.5,0.22275280898876404,0.02247191011235955,0.0008426966292134832,0.04943820224719101,0.28424844182068215,0.5341716084773794,0.9349612460755072,1.402539183494223,-0.5907264479827761,-0.5714285714285755,-0.571428571428572,-0.5714285714285683,0.06629213483146068,0.5049372832617879,1
3560,4.0,0.17134831460674158,0.008707865168539325,0.0005617977528089888,0.029775280898876405,0.24871738659309692,0.467400157417707,0.8180910903160687,1.2272217855574452,-0.5108463161422324,-0.5000000000000032,-0.5000000000000002,-0.4999999999999972,0.037640449438202245,0.4877892239776599,1
1540,1.5,1.0,0.9980519480519481,0.9727272727272728,0.0,5.45953073606613,7.526513770716538,10.793792550317765,15.351272248717152,2.815630387956824,-1.0,-1.0,5.701524850601674,0.5506493506493506,1.0,2
1540,2.0,1.0,0.9857142857142858,0.9090909090909091,0.0,4.094648052049598,5.644885328037404,8.095344412738324,11.513454186537864,2.831078918633643,-1.0,1.9584228158965495,5.0897419344659856,0.39090909090909093,1.0,2
1540,2.5,1.0,0.9551948051948052,0.8058441558441558,0.0,3.275718441639678,4.515908262429923,6.476275530190659,9.210763349230293,2.2313566414004207,-0.8000000000000024,1.5667382527172395,4.071793547572788,0.16753246753246753,1.0,2
1540,3.0,0.9980519480519481,0.9090909090909091,0.6798701298701298,0.0,2.729765368033065,3.763256885358269,5.396896275158882,7.675636124358576,1.8596803180501338,-0.6666666666666663,1.3056152105976997,3.39316128964399,0.08311688311688312,0.9992207792207792,2
1540,3.5,0.9961038961038962,0.8525974025974026,0.5564935064935065,0.0,2.339798886885484,3.225648758878516,4.625911092993327,6.579116678021637,1.5991137420021555,-0.5714285714285704,1.1190987519408853,2.9084239625519914,0.04350649350649351,0.9984415584415585,2
1540,4.0,0.9857142857142858,0.7688311688311689,0.45584415584415583,0.0006493506493506494,2.047324026024799,2.822442664018702,4.047672206369162,5.756727093268932,1.4015784203557826,-0.499999999999999,0.9792114079482748,2.5448709672329928,0.02792207792207792,0.9821888182938876,2
