percentile,fwd_mfe_h240_R,final_r
1,0.8704598379135132,-2.2227494966983796
5,1.0770792722702027,-1.6325672924518586
10,1.2874345421791076,-1.2074938774108888
20,1.492093014717102,-1.1423218250274658
30,1.6366520404815674,-1.0720859885215759
40,1.8583960056304931,-0.8397928833961487
50,1.9383925199508667,-0.7893255054950714
60,2.081128978729248,-0.6625373840332032
70,3.00440309047699,-0.5390174359083176
80,3.3465630531311037,0.011106342077255582
90,3.496886467933655,0.8159349918365483
95,3.5401869893074034,1.1322977572679518
99,3.5418094849586486,1.4315861231088634
