percentile,fwd_mfe_h240_R,final_r
1,0.028548148889094592,-1.6420203709602357
5,0.18666682913899424,-1.1174956321716307
10,0.41825794279575346,-0.9040281593799591
20,0.9761199951171876,-0.654442310333252
30,1.574808025360107,-0.4906406134366989
40,2.215922975540161,-0.36916997432708737
50,2.8897424936294556,-0.2712091952562332
60,3.6289649486541746,-0.18122250437736515
70,4.531855344772339,-0.09832993596792228
80,5.77101984024048,-0.012143719196319562
90,7.6764150142669685,0.11719469949603083
95,9.4938672542572,0.2511012524366377
99,14.184552783966055,0.6098195594549178
