unit_id,pipeline,t,fold_idx,auc,n_train,n_test,base_success
agg_c1_c3,D1_t3,3,3,0.5436781609,593,148,0.3918918919
agg_c1_c3,D1_t3,3,4,0.6308648954,741,148,0.4121621622
agg_c1_c3,D1_t4,4,0,0.5145833333,149,148,0.3243243243
agg_c1_c3,D1_t4,4,1,0.5117120548,297,148,0.3986486486
agg_c1_c3,D1_t4,4,2,0.4911445439,445,148,0.3986486486
agg_c1_c3,D1_t4,4,3,0.5630268199,593,148,0.3918918919
agg_c1_c3,D1_t4,4,4,0.5570001884,741,148,0.4121621622
agg_c1_c3,D1_t5,5,0,0.5910416667,148,148,0.3243243243
agg_c1_c3,D1_t5,5,1,0.5503713578,296,148,0.3986486486
agg_c1_c3,D1_t5,5,2,0.5294229671,444,148,0.3986486486
agg_c1_c3,D1_t5,5,3,0.6385057471,592,148,0.3918918919
agg_c1_c3,D1_t5,5,4,0.5547390239,740,148,0.4121621622
agg_c1_c3,D1_t10,10,0,0.5294612795,149,147,0.3265306122
agg_c1_c3,D1_t10,10,1,0.5442528736,296,147,0.4081632653
agg_c1_c3,D1_t10,10,2,0.5612165827,443,147,0.3945578231
agg_c1_c3,D1_t10,10,3,0.5507555211,590,147,0.3945578231
agg_c1_c3,D1_t10,10,4,0.6019824628,737,147,0.4149659864
