cluster_id,n,frac_of_pool,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
0,409,0.19,0.5480525967,3.865525672,0.1512078425,0.2379192132
1,318,0.1477,0.5362090911,33.18238994,0.543999172,0.7782571792
2,541,0.2513,0.4884035685,9.083179298,0.4681664135,0.5626557566
3,246,0.1143,0.4979011256,8.280487805,0.9844378614,0.5886488218
4,639,0.2968,0.004359490275,0.4851330203,0.02705473217,0.1071539881
