cluster_id,n,frac_of_pool,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
0,666,0.3093,0.01012965131,0.5255255255,0.02877419544,0.1244872729
1,332,0.1542,0.5358709491,32.67771084,0.5369022001,0.7682992683
2,617,0.2866,0.544848906,5.695299838,0.2343435956,0.323041196
3,538,0.2499,0.4894729495,8.700743494,0.7538444585,0.6044056046
