rule_id,feature,threshold,rule_str,pool_size_pre,pool_size_post,pool_kept_pct,retention_c0,retention_c1,retention_c2,retention_c3,c1_fraction_pre,c1_fraction_post,c1_lift,c2_kill_rate,aggregate_mean_r_unit,aggregate_hit_rate,floor_500_pass
F1,trigger_close_pos,0.5,trigger_close_pos >= 0.5,1327,1327,1.0,1.0,1.0,1.0,1.0,0.1333835719668425,0.1333835719668425,1.0,0.0,0.05346802472795918,0.31876412961567446,1
F2,pullback_depth_atr,0.5,pullback_depth_atr >= 0.5,1327,1327,1.0,1.0,1.0,1.0,1.0,0.1333835719668425,0.1333835719668425,1.0,0.0,0.05346802472795918,0.31876412961567446,1
F4,trigger_break_size_atr,0.0,trigger_break_size_atr >= 0.0,1327,1327,1.0,1.0,1.0,1.0,1.0,0.1333835719668425,0.1333835719668425,1.0,0.0,0.05346802472795918,0.31876412961567446,1
F2,pullback_depth_atr,0.75,pullback_depth_atr >= 0.75,1327,1202,0.905802562170309,0.8829113924050633,0.9322033898305084,0.8997668997668997,0.9185185185185185,0.1333835719668425,0.13727121464226288,1.029146338024197,0.10023310023310028,0.07330167011637423,0.32196339434276205,1
F3,trigger_body_atr,0.3,trigger_body_atr >= 0.3,1327,1173,0.8839487565938207,0.9113924050632911,0.8587570621468926,0.8764568764568764,0.8814814814814815,0.1333835719668425,0.12958226768968456,0.971500956068991,0.12354312354312358,0.030545758537887335,0.31202046035805625,1
F2,pullback_depth_atr,1.0,pullback_depth_atr >= 1.0,1327,1065,0.8025621703089676,0.7626582278481012,0.8305084745762712,0.7972027972027972,0.8271604938271605,0.1333835719668425,0.13802816901408452,1.034821357523673,0.2027972027972028,0.09057364243374352,0.3286384976525822,1
F2,pullback_depth_atr,1.25,pullback_depth_atr >= 1.25,1327,943,0.7106254709871892,0.6708860759493671,0.768361581920904,0.696969696969697,0.7308641975308642,0.1333835719668425,0.14422057264050903,1.0812468920562457,0.303030303030303,0.08555292273604119,0.3244962884411453,1
F2,pullback_depth_atr,1.5,pullback_depth_atr >= 1.5,1327,812,0.611906556141673,0.5822784810126582,0.6836158192090396,0.5874125874125874,0.6296296296296297,0.1333835719668425,0.14901477832512317,1.1171898917369403,0.4125874125874126,0.08653897592223751,0.32019704433497537,1
F4,trigger_break_size_atr,0.25,trigger_break_size_atr >= 0.25,1327,739,0.5568952524491334,0.5506329113924051,0.5141242937853108,0.5734265734265734,0.562962962962963,0.1333835719668425,0.12313937753721245,0.9231974801801182,0.42657342657342656,0.019079052264343692,0.3234100135317997,1
F3,trigger_body_atr,0.7,trigger_body_atr >= 0.7,1327,625,0.47098718914845517,0.5158227848101266,0.4689265536723164,0.49184149184149184,0.4148148148148148,0.1333835719668425,0.1328,0.9956248587570622,0.5081585081585082,0.037471779793874956,0.32,1
F5,ret_5bar_atr,0.5,ret_5bar_atr >= 0.5,1327,503,0.3790504898266767,0.3670886075949367,0.3446327683615819,0.40792540792540793,0.3728395061728395,0.1333835719668425,0.12127236580516898,0.9092001662342329,0.592074592074592,0.01390807539195198,0.33001988071570576,1
