metric,value
unit_id,c3
n,365
sl_atr_mult,2
fwd_mfe_p5,0.5292951032
fwd_mfe_p10,0.6906558437
fwd_mfe_p25,1.319970591
fwd_mfe_p50,2.123826887
fwd_mfe_p75,3.298719933
fwd_mfe_p90,4.816792879
fwd_mfe_p95,5.53484145
fwd_mfe_p99,7.729612021
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,-1
final_r_p75,-1
final_r_p90,1.44376682
final_r_p95,2.456268375
final_r_p99,4.097186249
fwd_mfe_mean,2.512462851
final_r_mean,-0.5177312128
hartigan_dip_stat,0.01667092972
hartigan_dip_pvalue,0.744218943
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.7150684932
mass_final_r_le_0R_count,309
mass_final_r_le_0R_frac,0.8465753425
mass_final_r_0R_to_0.5R_count,4
mass_final_r_0R_to_0.5R_frac,0.01095890411
mass_final_r_0.5R_to_1R_count,6
mass_final_r_0.5R_to_1R_frac,0.01643835616
mass_final_r_1R_to_2R_count,14
mass_final_r_1R_to_2R_frac,0.03835616438
mass_final_r_2R_to_5R_count,31
mass_final_r_2R_to_5R_frac,0.08493150685
mass_final_r_gt_5R_count,1
mass_final_r_gt_5R_frac,0.002739726027
