metric,value
unit_id,agg_c1_c3
n,550
sl_atr_mult,4
fwd_mfe_p5,0.3632053419
fwd_mfe_p10,0.5740899104
fwd_mfe_p25,1.071663917
fwd_mfe_p50,1.976092728
fwd_mfe_p75,3.26296807
fwd_mfe_p90,4.692994309
fwd_mfe_p95,5.789201056
fwd_mfe_p99,9.629213853
final_r_p5,-1
final_r_p10,-1
final_r_p25,-1
final_r_p50,0.1350199793
final_r_p75,1.791885314
final_r_p90,3.630231386
final_r_p95,4.788829383
final_r_p99,7.405114676
fwd_mfe_mean,2.43221799
final_r_mean,0.7290875364
hartigan_dip_stat,0.009138551832
hartigan_dip_pvalue,0.9934571943
shape_tag,unclassified
bimodal_separated,0
bimodal_mode_separation_r,0
bimodal_min_mode_mass,0
bimodal_left_mode_r,0
bimodal_right_mode_r,0
bimodal_left_mass,0
bimodal_right_mass,0
pct_peak_and_collapse,0.3890909091
mass_final_r_le_0R_count,267
mass_final_r_le_0R_frac,0.4854545455
mass_final_r_0R_to_0.5R_count,29
mass_final_r_0R_to_0.5R_frac,0.05272727273
mass_final_r_0.5R_to_1R_count,38
mass_final_r_0.5R_to_1R_frac,0.06909090909
mass_final_r_1R_to_2R_count,91
mass_final_r_1R_to_2R_frac,0.1654545455
mass_final_r_2R_to_5R_count,99
mass_final_r_2R_to_5R_frac,0.18
mass_final_r_gt_5R_count,26
mass_final_r_gt_5R_frac,0.04727272727
