calibrator,threshold,precision,recall,n_admitted,passes_recall_floor
reproduced_uncal_oof,0.4,0.3333333333,0.002739726027,3,0
reproduced_uncal_oof,0.5,0,0,0,0
reproduced_uncal_oof,0.6,0,0,0,0
reproduced_uncal_oof,0.7,0,0,0,0
