resample_idx,auc
0,0.5823925191013798
1,0.5576190476190476
2,0.625449236298293
3,0.5913693346190935
4,0.659859390693003
5,0.6256775067750677
6,0.5434903047091413
7,0.5855555555555556
8,0.56691511847814
9,0.5375998225377108
10,0.5824645075421472
11,0.5884033613445379
12,0.6454381210478772
13,0.6523476523476525
14,0.5923955215608026
15,0.5116869918699187
16,0.5424221690044475
17,0.6170444139194139
18,0.5835536145270659
19,0.6344420958949827
20,0.5694178583492849
21,0.7001996450754215
22,0.5651111111111111
23,0.6100789854266325
24,0.6612767996167206
25,0.5564793260170713
26,0.6077984202914674
27,0.5653510733452594
28,0.6213034259569244
29,0.6817319495592009
30,0.5680329719963866
31,0.6490756302521008
32,0.5467352415026834
33,0.6608333333333334
34,0.6799439775910364
35,0.5683698568872987
36,0.5396517302573203
37,0.616111111111111
38,0.5102504432624113
39,0.6879756468797564
40,0.6269947550496596
41,0.587
42,0.6071866979131794
43,0.6575106309619584
44,0.632231884057971
45,0.5382440971067508
46,0.6253800247719852
47,0.6314884649511978
48,0.5949030470914127
49,0.5733378256963162
50,0.5663333333333334
51,0.609641781051222
52,0.6239515377446413
53,0.5837180497691702
54,0.6395518207282912
55,0.6432213723533975
56,0.5422629695885509
57,0.5614083880298142
58,0.575435095887374
59,0.5826465201465201
60,0.6137777777777776
61,0.524695652173913
62,0.6144176215374346
63,0.6027062999112689
64,0.5793996205780605
65,0.5620567375886525
66,0.5443620844564241
67,0.5064577717879605
68,0.5871666666666666
69,0.5946969696969698
70,0.6830397470641374
71,0.5656582633053222
72,0.6041105121293802
73,0.585
74,0.6546431737588653
75,0.6050354924578528
76,0.641622340425532
77,0.5882155635062613
78,0.5097502565856997
79,0.5609077761708755
80,0.6338375350140056
81,0.5660126371799136
82,0.6778287119856888
83,0.6485193108884135
84,0.5800691887066175
85,0.5617850266168309
86,0.528032619775739
87,0.6167613636363636
88,0.5936685921395402
89,0.638332747921789
90,0.613993973886843
91,0.5813386524822696
92,0.6415909090909091
93,0.5897984461209322
94,0.6428412504171763
95,0.5949330563250231
96,0.6937396121883657
97,0.6274401064773735
98,0.6581512605042017
99,0.5713327370304115
100,0.6434258283573352
101,0.5585795454545455
102,0.6146076146076146
103,0.598824963972952
104,0.6720232116951232
105,0.6005143112701252
106,0.640139751552795
107,0.5791522972521971
108,0.5701939058171746
109,0.6505
110,0.5929673524150268
111,0.6097616603945718
112,0.5623256332998549
113,0.6505729224607854
114,0.6754621848739496
115,0.6077044025157233
116,0.61119243328454
117,0.5578865578865579
118,0.6177969858156027
119,0.5679444444444445
120,0.6306666666666666
121,0.6451058640948897
122,0.61865189289012
123,0.5048703137388152
124,0.6509402094358744
125,0.5863184912398169
126,0.6172716172716172
127,0.5618823000898473
128,0.5866529304029304
129,0.6428016428016426
130,0.5797471162377994
131,0.5816189624329158
132,0.6050824175824175
133,0.5546945193171609
134,0.5683962264150944
135,0.5891316526610645
136,0.6187784059416916
137,0.5443030911728601
138,0.5912433155080214
139,0.6028719397363466
140,0.5936657681940701
141,0.620330340317038
142,0.615686274509804
143,0.5982320571361667
144,0.613557031865781
145,0.6145844921570809
146,0.5627222222222222
147,0.6151111111111112
148,0.5952222222222222
149,0.541902541902542
150,0.5546813971654949
151,0.6094028520499108
152,0.6072727272727273
153,0.6044489611562781
154,0.6645962732919254
155,0.6053682342502219
156,0.539189036130932
157,0.60650623885918
158,0.6460481099656357
159,0.5737396121883656
160,0.6207093169118486
161,0.5902770052286128
162,0.5966386554621849
163,0.5994318181818182
164,0.6313718782073212
165,0.6292596292596292
166,0.5767931539241076
167,0.6183451641526176
168,0.48445855614973266
169,0.6312326869806094
170,0.6181736290958224
171,0.6367924528301886
172,0.6209749552772809
173,0.6582386363636364
174,0.5822898032200358
175,0.563
176,0.5967580213903744
177,0.652741808354915
178,0.6487699468085106
179,0.5811439973395411
180,0.5779132791327912
181,0.6361363636363636
182,0.537100709849157
183,0.6210308586762076
184,0.5797641561908999
185,0.6500736210216331
186,0.5839750027898671
187,0.5448798988621998
188,0.5382276770633938
189,0.6649560953358422
190,0.6138252470799641
191,0.6298888888888889
192,0.5848863636363637
193,0.5801553672316383
194,0.6558031260392417
195,0.6130380036630038
196,0.6074808986201391
197,0.5203319964349377
198,0.6272920393559929
199,0.6626330532212885
200,0.658329636202307
201,0.6447733067287441
202,0.6468795033809999
203,0.6334659090909092
204,0.6030704194014906
205,0.6249999999999999
206,0.5907803828293123
207,0.6333775313404051
208,0.6148814847942755
209,0.6067266067266067
210,0.5480630480630482
211,0.6541889483065954
212,0.6444292393659482
213,0.5905772686433063
214,0.7096590261147223
215,0.6568317527221637
216,0.5982905982905983
217,0.5619935619935621
218,0.5931350626118068
219,0.5955056179775281
220,0.5565227095190268
221,0.5815630590339892
222,0.5710312604294137
223,0.6515741461786628
224,0.5886834733893558
225,0.6063110026619343
226,0.6502435156869407
227,0.6052336028751123
228,0.5503824409710675
229,0.5860496161975748
230,0.6389166389166391
231,0.5452219379241294
232,0.6281664992746345
233,0.5443888888888889
234,0.5932651419377084
235,0.5945293644408689
236,0.6898060941828256
237,0.5685872576177284
238,0.6344433118133423
239,0.5822510822510824
240,0.5394001596533242
241,0.6166056166056166
242,0.6135570318657808
243,0.5736408199643493
244,0.5475630252100842
245,0.6578654188948306
246,0.5654900654900656
247,0.5862758945386064
248,0.5934453781512604
249,0.6306497175141242
250,0.6231546231546231
251,0.5823668505798897
252,0.6108683473389356
253,0.6507954545454545
254,0.6358641358641359
255,0.5442777777777777
256,0.606283498688562
257,0.5831105169340464
258,0.5908989266547406
259,0.5715408805031447
260,0.5280635062611807
261,0.6316823899371069
262,0.5755502337780819
263,0.5551277759178662
264,0.5739218556468867
265,0.5686535686535686
266,0.5288461538461539
267,0.6720436088552676
268,0.622382271468144
269,0.6165606517129785
270,0.6285938903863432
271,0.5619607843137255
272,0.6102353338587997
273,0.5457114361702128
274,0.5369804054819346
275,0.5598468640918816
276,0.5978151260504202
277,0.601111111111111
278,0.6431193681165869
279,0.5762570762570762
280,0.6073975044563279
281,0.6298146298146299
282,0.5879366142171633
283,0.6408466312056738
