resample_idx,auc
0,0.5263998175390581
1,0.5922619047619048
2,0.5984950584007187
3,0.6600771456123432
4,0.601216382100212
5,0.632960704607046
6,0.5047091412742382
7,0.5533888888888889
8,0.5442763377461342
9,0.5745896184560781
10,0.5764751552795031
11,0.6101960784313725
12,0.5879629629629629
13,0.6035631035631036
14,0.5916749806008204
15,0.5851400180668473
16,0.5443037974683544
17,0.5919184981684982
18,0.5576370532122744
19,0.5859383691178107
20,0.6060128363922982
21,0.5410381543921916
22,0.48616666666666664
23,0.5537879630659694
24,0.5588693256677446
25,0.5647378339430218
26,0.5666926243186117
27,0.5943090339892665
28,0.619127329539114
29,0.6341926124316483
30,0.5572493224932249
31,0.5692436974789916
32,0.5281194096601074
33,0.6252777777777777
34,0.6332773109243698
35,0.6137075134168157
36,0.4779835847382431
37,0.6182777777777777
38,0.6318151595744681
39,0.5852944620067908
40,0.6534984934717107
41,0.6267777777777779
42,0.6663876799464346
43,0.6422824962647972
44,0.5664347826086957
45,0.5918412592838931
46,0.6029726382164171
47,0.5341614906832298
48,0.5722991689750693
49,0.569182389937107
50,0.5798888888888889
51,0.5467581743109028
52,0.5749068033550793
53,0.5725143564913862
54,0.5560224089635855
55,0.5796474891918856
56,0.5576923076923077
57,0.6549115585715874
58,0.5279902449839264
59,0.620764652014652
60,0.6629444444444444
61,0.5978550724637681
62,0.6207587050839916
63,0.6449090505767525
64,0.5817989063720568
65,0.5372340425531915
66,0.5110624438454627
67,0.5613207547169811
68,0.5636111111111111
69,0.5137032085561497
70,0.6174909665763324
71,0.5624649859943978
72,0.5858041329739443
73,0.5304444444444445
74,0.6465536347517731
75,0.5905612244897959
76,0.563497340425532
77,0.662902504472272
78,0.6121564602577261
79,0.5664701301590833
80,0.5749019607843137
81,0.5867974725640173
82,0.5756932021466905
83,0.644184213489472
84,0.48119629505635536
85,0.5330728281798617
86,0.5714123909842564
87,0.6157386363636363
88,0.6432212028542303
89,0.5920266947664208
90,0.6637094074322062
91,0.5302526595744681
92,0.6196022727272728
93,0.5216754869947079
94,0.574090555122928
95,0.5516505078485688
96,0.5518559556786703
97,0.6348713398402839
98,0.583921568627451
99,0.5371757602862254
100,0.5321976349373609
101,0.6208522727272727
102,0.6046731046731046
103,0.6141780290433433
104,0.5805713648030353
105,0.6284101073345258
106,0.682564330079858
107,0.6113027033040382
108,0.5494182825484764
109,0.6049444444444445
110,0.5801095706618963
111,0.5114038088721633
112,0.5117732395937954
113,0.5649126710423851
114,0.5895238095238095
115,0.596136567834681
116,0.6392298164621102
117,0.5840825840825841
118,0.5874889184397163
119,0.5251666666666667
120,0.5966666666666667
121,0.6258729630861323
122,0.5706371191135734
123,0.571355759429154
124,0.6133881319671208
125,0.6288360674031916
126,0.5935730935730936
127,0.5745170709793351
128,0.5398351648351648
129,0.5471195471195471
130,0.5559560780834073
131,0.6271243291592128
132,0.6267742673992673
133,0.5859164420485176
134,0.47394429469901167
135,0.5903641456582633
136,0.5162953109411373
137,0.5033478406427854
138,0.6207107843137255
139,0.5438441619585688
140,0.5276280323450135
141,0.6376787495843033
142,0.6123249299719888
143,0.5621121648518909
144,0.5672221596667042
145,0.5558460340416064
146,0.5978333333333333
147,0.6275555555555555
148,0.5227777777777778
149,0.535020535020535
150,0.5426849681955139
151,0.5414995543672014
152,0.5511931818181818
153,0.5395212285456188
154,0.5908385093167702
155,0.5356033717834959
156,0.5655227092535962
157,0.6449977718360071
158,0.6371244873073938
159,0.5745706371191136
160,0.5928840232637701
161,0.6490710868839692
162,0.5109803921568628
163,0.5992090017825312
164,0.5379176644999429
165,0.5781995781995782
166,0.5195923882445671
167,0.6167369121561668
168,0.5362076648841354
169,0.6080909510618652
170,0.5118792928724243
171,0.6367362982929021
172,0.602638640429338
173,0.5901136363636363
174,0.5742397137745975
175,0.6544444444444444
176,0.602105614973262
177,0.652629208422475
178,0.6114804964539007
179,0.6204411927724198
180,0.520776874435411
181,0.60375
182,0.49489795918367346
183,0.5465675313059034
184,0.5903326287684949
185,0.6373881526786725
186,0.5614328757951121
187,0.5425813124928169
188,0.5029275982434409
189,0.562777967841259
190,0.6179245283018867
191,0.5619444444444444
192,0.5794318181818182
193,0.6064030131826742
194,0.5800908990134132
195,0.635989010989011
196,0.6250427642832705
197,0.5899064171122995
198,0.6057692307692308
199,0.6006162464985993
200,0.5888975155279503
201,0.6210508812770202
202,0.526327458153198
203,0.6251704545454545
204,0.6418956502391812
205,0.6289132379248659
206,0.5693736550005662
207,0.6174059787849566
208,0.5611024150268337
209,0.6494616494616495
210,0.624986124986125
211,0.5823863636363638
212,0.6449994298095565
213,0.5589061096136568
214,0.5546812635420231
215,0.62715138742536
216,0.5225330225330226
217,0.5967920967920969
218,0.6030299642218246
219,0.6105795972855712
220,0.528066064055351
221,0.5289579606440071
222,0.5003893647791746
223,0.5287573701190342
224,0.6039775910364146
225,0.5733695652173912
226,0.5763959678332766
227,0.5913072776280324
228,0.5650149650814765
229,0.5869952163755702
230,0.6259851259851259
231,0.5994548893091557
232,0.6421158352862404
233,0.5042777777777778
234,0.5666590047121021
235,0.6487760027583036
236,0.5917451523545706
237,0.531578947368421
238,0.5871559633027523
239,0.592019092019092
240,0.6057133082449537
241,0.5853035853035854
242,0.5720639567616259
243,0.5082442067736184
244,0.6113725490196078
245,0.6847704991087344
246,0.5614940614940614
247,0.6125823917137476
248,0.5515406162464986
249,0.6272363465160075
250,0.6082251082251082
251,0.5903614457831325
252,0.5051540616246499
253,0.6569318181818182
254,0.5825840825840826
255,0.6393333333333333
256,0.5603261489337439
257,0.5544786096256684
258,0.601185152057245
259,0.6243261455525607
260,0.621589892665474
261,0.5590745732255167
262,0.5732124529592884
263,0.5994866644347728
264,0.5686296588222047
265,0.607059607059607
266,0.54662343470483
267,0.6338302369562799
268,0.5783379501385042
269,0.548097310568017
270,0.5365004492362982
271,0.540952380952381
272,0.5532034680779191
273,0.536790780141844
