config_id,arch,sl_atr,exit_policy,exposure,extra,verdict,worst_fold_roi_pct,worst_fold_dd_pct,worst_fold_ratio,mean_fold_roi_pct,mean_fold_dd_pct,mean_fold_ratio,sign_pos_folds,sign_total_folds,n_trades_total,any_daily_breach,max_dd_across_folds
47,A6,2.0,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2842,0,0.0
46,A6,2.0,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,0.0,0.0,0.0,0.0009090909090908897,0.0,181.63636363636363,2,11,2842,0,0.0
65,A6,2.5,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,2842,0,0.0
62,A6,2.5,sl_plus_tp_2r,unlimited,"{""hi"": 0.7, ""lo"": 0.5}",FAIL,0.0,0.0,0.0,0.0,0.0,0.0,0,11,4434,0,0.0
3,A1,1.5,sl_plus_tp_2r,max_concurrent_per_pair_1,{},FAIL,-0.0017137394979122034,0.15435570594703535,-0.011102534158991473,0.22626808982116706,0.10059527273685474,2.7100913571141287,10,11,2842,0,0.15435570594703535
5,A1,1.5,sl_plus_tp_3r,max_concurrent_per_pair_1,{},FAIL,-0.029732089979328857,0.19947619468928124,-0.16618025483717475,0.2210488946771881,0.12141013014167647,2.097288275801704,10,11,2842,0,0.19947619468928124
51,A6,2.0,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.005142495561449523,0.022276307590408786,-0.23085044685159845,0.020436243803608586,0.009122759524070332,2.871570907695801,10,11,2842,0,0.022276307590408786
63,A6,2.5,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.005084378113052179,0.014412780742675373,-0.35276871297969886,0.013325918769106816,0.007383515779860631,2.2428978085213345,9,11,2842,0,0.014412780742675373
66,A6,2.5,sl_plus_tp_3r,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.011386262505884481,0.02987211231879316,-0.3811669688561377,0.031610449653047004,0.016133869708822423,2.795133272565769,9,11,4434,0,0.02987211231879316
48,A6,2.0,sl_plus_tp_3r,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.012622193551721894,0.03201694094557765,-0.394234838774169,0.04136002739643362,0.012058289808761573,5.094688623584466,9,11,4434,0,0.03201694094557765
69,A6,2.5,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.00980139684566761,0.02293520888491157,-0.4273515403696922,0.013363096308594235,0.012033456310767713,1.5869804212702923,9,11,2842,0,0.02293520888491157
45,A6,2.0,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.002537343556734406,0.014925001632441913,-0.5081038411483262,0.018988334206506616,0.0074795513095808645,2.9671809063545975,10,11,2842,0,0.014925001632441913
60,A6,2.5,sl_plus_tp_2r,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.013532801742719314,0.02231045920642497,-0.6065676021057484,0.02695672286645624,0.010133949792684215,3.9235391480989947,10,11,4434,0,0.02231045920642497
18,A6,1.5,sl_only,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.03328871661936228,0.04209229687901082,-0.86921789841382,0.07461862307660262,0.026192916277857713,4.688964306163516,6,11,4434,0,0.04209229687901082
9,A1,2.0,sl_plus_tp_2r,max_concurrent_per_pair_1,{},FAIL,-0.19038416945658132,0.2615076964646668,-0.8749254494453613,-0.07539768161084157,0.173201188961239,-0.35372756419915063,3,11,2842,0,0.2615076964646668
39,A6,2.0,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.017754486218142018,0.02554604762853882,-0.8955210633549081,0.038032642263479494,0.014836518450903658,3.3283122840444137,9,11,2842,0,0.02554604762853882
57,A6,2.5,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.01521036598755987,0.022935208884911608,-0.9013932893084133,0.028262404694224284,0.013227711951437383,2.7329205542267654,9,11,2842,0,0.022935208884911608
17,A1,2.5,sl_plus_tp_3r,max_concurrent_per_pair_1,{},FAIL,-0.29968793385913783,0.3338603345562848,-0.9230894525651961,-0.14749981564537176,0.23204512444496242,-0.5492891352139266,2,11,2842,0,0.3338603345562848
36,A6,2.0,sl_only,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.025102925815708277,0.04138185460001121,-0.9243012096616838,0.06867297600838257,0.021992275451606567,4.775438343510031,8,11,4434,0,0.04138185460001121
21,A6,1.5,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.030028120255941038,0.03230262911634287,-0.9295875003793084,0.038684591423018395,0.017978684226177398,3.3889550563798565,8,11,2842,0,0.03230262911634287
54,A6,2.5,sl_only,unlimited,"{""hi"": 0.5, ""lo"": 0.3}",FAIL,-0.022577838824353047,0.039030451397531474,-0.9318400106326905,0.05031438796165257,0.01988183991170456,3.8360854344855793,7,11,4434,0,0.039030451397531474
11,A1,2.0,sl_plus_tp_3r,max_concurrent_per_pair_1,{},FAIL,-0.28014132033601435,0.3291783962044969,-0.9331240701474055,-0.08075535628059531,0.2169229156050571,-0.17890777694448692,3,11,2842,0,0.3291783962044969
10,A1,2.0,sl_plus_tp_3r,unlimited,{},FAIL,-0.3843594737819105,0.4409232665985055,-0.9519937229614568,-0.13440502712869998,0.29046008441179527,-0.2992773606368406,3,11,4434,0,0.4409232665985055
1,A1,1.5,sl_only,max_concurrent_per_pair_1,{},FAIL,-0.5403318592018328,0.5890802868913119,-0.9691185344698859,-0.06854972180527928,0.3743758297988924,0.5347127912975924,3,11,2842,0,0.5890802868913119
15,A1,2.5,sl_plus_tp_2r,max_concurrent_per_pair_1,{},FAIL,-0.2946593523832135,0.3029403360966597,-0.9726646381259576,-0.12646977429782877,0.20138568896164288,-0.5509915680604233,1,11,2842,0,0.3029403360966597
8,A1,2.0,sl_plus_tp_2r,unlimited,{},FAIL,-0.28349155886552335,0.29058570184705285,-0.9755867445079475,-0.1332388994532989,0.2335815180430689,-0.5093110628073962,2,11,4434,0,0.29058570184705285
7,A1,2.0,sl_only,max_concurrent_per_pair_1,{},FAIL,-0.5085861094649724,0.5327588819144826,-0.9857988128760938,-0.04982356681140888,0.3377591695126503,0.4931798790864443,2,11,2842,0,0.5327588819144826
16,A1,2.5,sl_plus_tp_3r,unlimited,{},FAIL,-0.4305968724798941,0.4711862649344782,-0.9917652901302054,-0.22889323194076922,0.3246381377806016,-0.6204430354576038,2,11,4434,0,0.4711862649344782
52,A6,2.0,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.0003519919303137664,0.00035199193031381585,-0.9999999999998596,0.0006498189154260269,3.199926639216508e-05,90.72727272727273,1,11,2842,0,0.00035199193031381585
49,A6,2.0,sl_plus_tp_3r,unlimited,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.0003519919303137664,0.00035199193031381585,-0.9999999999998596,0.0006498189154260269,3.199926639216508e-05,90.72727272727273,1,11,4434,0,0.00035199193031381585
37,A6,2.0,sl_only,unlimited,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.0003519919303137664,0.00035199193031381585,-0.9999999999998596,0.0017132970523117028,3.199926639216508e-05,90.72727272727273,1,11,4434,0,0.00035199193031381585
40,A6,2.0,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.0003519919303137664,0.00035199193031381585,-0.9999999999998596,0.0017132970523117028,3.199926639216508e-05,90.72727272727273,1,11,2842,0,0.00035199193031381585
31,A6,1.5,sl_plus_tp_3r,unlimited,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00046932257375165154,0.0004693225737517059,-0.9999999999998841,0.00063915249329531,4.266568852288236e-05,90.72727272727273,1,11,4434,0,0.0004693225737517059
22,A6,1.5,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00046932257375165154,0.0004693225737517059,-0.9999999999998841,0.0022843960697489407,4.266568852288236e-05,90.72727272727273,1,11,2842,0,0.0004693225737517059
19,A6,1.5,sl_only,unlimited,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00046932257375165154,0.0004693225737517059,-0.9999999999998841,0.0022843960697489407,4.266568852288236e-05,90.72727272727273,1,11,4434,0,0.0004693225737517059
34,A6,1.5,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00046932257375165154,0.0004693225737517059,-0.9999999999998841,0.00063915249329531,4.266568852288236e-05,90.72727272727273,1,11,2842,0,0.0004693225737517059
64,A6,2.5,sl_plus_tp_2r,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00028159354425105754,0.00028159354425108177,-0.999999999999914,0.00042894604143171237,2.5599413113734705e-05,90.72727272727273,1,11,2842,0,0.00028159354425108177
61,A6,2.5,sl_plus_tp_2r,unlimited,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00028159354425105754,0.00028159354425108177,-0.999999999999914,0.00042894604143171237,2.5599413113734705e-05,90.72727272727273,1,11,4434,0,0.00028159354425108177
55,A6,2.5,sl_only,unlimited,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00028159354425105754,0.00028159354425108177,-0.999999999999914,0.0013706376418493543,2.5599413113734705e-05,90.72727272727273,1,11,4434,0,0.00028159354425108177
70,A6,2.5,sl_plus_tp_3r,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00028159354425105754,0.00028159354425108177,-0.999999999999914,0.000656218768704455,2.5599413113734705e-05,90.72727272727273,1,11,2842,0,0.00028159354425108177
58,A6,2.5,sl_only,max_concurrent_per_pair_1,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00028159354425105754,0.00028159354425108177,-0.999999999999914,0.0013706376418493543,2.5599413113734705e-05,90.72727272727273,1,11,2842,0,0.00028159354425108177
67,A6,2.5,sl_plus_tp_3r,unlimited,"{""hi"": 0.6, ""lo"": 0.4}",FAIL,-0.00028159354425105754,0.00028159354425108177,-0.999999999999914,0.000656218768704455,2.5599413113734705e-05,90.72727272727273,1,11,4434,0,0.00028159354425108177
14,A1,2.5,sl_plus_tp_2r,unlimited,{},FAIL,-0.35654744219877343,0.3556171394518004,-1.0026160233682975,-0.20443256375965288,0.26926623329002514,-0.7046327805666958,0,11,4434,0,0.3556171394518004
12,A1,2.5,sl_only,unlimited,{},FAIL,-0.6686452987845827,0.6849257034244888,-1.0041745896602756,-0.12091484254091998,0.4574155636155998,0.30207437624393224,2,11,4434,0,0.6849257034244888
0,A1,1.5,sl_only,unlimited,{},FAIL,-0.7134920425396813,0.7556946456199053,-1.0049132189538086,0.15159130117562528,0.4999269686653172,1.2164824593691466,4,11,4434,0,0.7556946456199053
6,A1,2.0,sl_only,unlimited,{},FAIL,-0.6969918027393553,0.7236612658408056,-1.0051004822469123,0.07382531394597903,0.48049692082384854,1.092023961697569,3,11,4434,0,0.7236612658408056
13,A1,2.5,sl_only,max_concurrent_per_pair_1,{},FAIL,-0.4847359585219665,0.49405862791380944,-1.0097600833804192,-0.13019482712154426,0.3204272219569501,0.06854427419743253,2,11,2842,0,0.49405862791380944
