trade_id,pair,bar_offset,high_r,low_r,close_r,mfe_so_far_r,mae_so_far_r,is_held
AUD_USD_2010-02-18 20:00:00,AUD_USD,0,0.2775226366582201,-0.7435911867712454,-0.2330342750565126,0.2775226366582201,-0.7435911867712454,1
AUD_USD_2010-02-18 20:00:00,AUD_USD,1,0.10804316388984088,-0.7690131076865034,-0.6948658383503242,0.2775226366582201,-0.7690131076865034,1
AUD_USD_2010-02-18 20:00:00,AUD_USD,2,0.19701988709323232,-0.9300186068164554,-0.24574523551412988,0.2775226366582201,-0.9300186068164554,1
AUD_USD_2010-02-18 20:00:00,AUD_USD,3,0.5105569117147327,-0.4512390962457894,0.010592467048022232,0.5105569117147327,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,4,1.245674124847551,-0.23938975528532125,0.999928889333421,1.245674124847551,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,5,1.3982056503390992,0.8537528440706813,1.3600727689662004,1.3982056503390992,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,6,2.0951899820990185,1.3473618085085832,2.044346140268526,2.0951899820990185,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,7,2.131204370062299,1.542263202192197,1.6333584188052068,2.131204370062299,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,8,1.8791036543193602,1.071957665259958,1.6312399253956118,2.131204370062299,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,9,1.9998577786668184,1.3600727689662004,1.6058180044803538,2.131204370062299,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,10,1.749875556333475,1.1503419214153507,1.6460693792628478,2.131204370062299,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,11,1.8812221477289555,1.50624881422894,1.766823503610306,2.131204370062299,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,12,1.8791036543193602,1.2838070062204263,1.5041303208193215,2.131204370062299,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,13,2.012568739124436,1.3558357821469869,1.9045255752346184,2.131204370062299,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,14,3.139607233034147,1.910881055463427,1.9977392852572233,3.139607233034147,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,15,2.0676495677741653,1.2922809798588535,1.845207759765675,3.139607233034147,-0.9300186068164554,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,16,1.84308926635608,-0.934255593635669,-0.5508082864972266,3.139607233034147,-0.934255593635669,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,17,-0.06779178910734698,-0.8622268177091085,-0.158887005720357,3.139607233034147,-0.934255593635669,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,18,0.2881151037062423,-0.37921032031922886,0.10168768366103224,3.139607233034147,-0.934255593635669,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,19,0.3050630509830732,-0.2330342750565126,-0.10592467048022232,3.139607233034147,-0.934255593635669,0
AUD_USD_2010-02-18 20:00:00,AUD_USD,20,0.13770207162431253,-1.3854946898814584,-0.682154877892707,3.139607233034147,-1.3854946898814584,0
